rule,t,avgMaxRadius,stdMaxRadius,avgAliveCells,stdAliveCells
Rule3623,26,12.9942,3.25215,43.5600,25.0338
Rule3623,27,13.0452,3.25087,43.0900,24.5604
Rule3623,28,13.0934,3.24321,43.6200,25.7277
Rule3623,29,13.1710,3.28669,44.3100,26.5747
Rule3623,30,13.2216,3.29340,44.2700,26.5588
Rule3623,31,13.2798,3.37635,44.5500,27.3778
Rule3623,32,13.3446,3.40546,45.1000,27.7952
Rule3623,33,13.2983,3.45321,44.5900,26.9388
Rule3623,34,13.3182,3.44304,45.3700,27.8976
Rule3623,35,13.3029,3.60173,44.7700,27.7368
Rule3623,36,13.1967,3.63161,45.6100,28.6017
Rule3623,37,13.2620,3.65951,44.7200,29.1336
Rule3623,38,13.2925,3.69680,45.3000,29.4696
Rule3623,39,13.3092,3.73838,44.3100,28.7721
Rule3623,40,13.4390,3.78244,44.0000,29.7681
Rule3623,41,13.3725,3.87129,43.9100,28.6360
Rule3623,42,13.4534,3.92174,43.5900,28.3912
Rule3623,43,13.4412,3.98790,44.6200,28.9970
Rule3623,44,13.5322,3.99728,44.6500,29.9563
Rule3623,45,13.5934,4.06394,44.1500,29.0584
Rule3623,46,13.6660,4.10837,43.9700,28.9051
Rule3623,47,13.7384,4.19055,43.8900,29.8772
Rule3623,48,13.8276,4.25196,45.5700,32.7304
Rule3623,49,13.9024,4.33124,44.8900,32.7568
Rule3623,50,13.9222,4.36722,44.0600,32.4304
Rule3623,51,13.9325,4.45570,44.3600,32.9948
Rule3623,52,13.9327,4.55942,44.0500,32.1091
Rule3623,53,14.0579,4.65101,45.0600,32.7747
Rule3623,54,14.1272,4.63653,45.6000,32.0073
Rule3623,55,14.1932,4.75922,45.7800,33.8620
Rule3623,56,14.2508,4.81102,45.2600,33.6856
Rule3623,57,14.2865,4.89455,46.3500,35.0184
Rule3623,58,14.2634,4.91175,44.9700,33.8277
Rule3623,59,14.3132,4.98216,44.7900,34.2626
Rule3623,60,14.3832,5.05756,45.4800,35.7693
Rule3623,61,14.4467,5.10513,44.4200,34.9106
Rule3623,62,14.5380,5.13031,43.9800,33.7238
Rule3623,63,14.5351,5.20015,44.9200,35.1167
Rule3623,64,14.5664,5.18266,45.0400,35.8185
Rule3623,65,14.5477,5.28707,44.5900,34.9621
Rule3623,66,14.5888,5.29875,44.6300,35.9269
Rule3623,67,14.5776,5.37997,43.5700,33.7298
Rule3623,68,14.5791,5.41971,43.7600,34.3282
Rule3623,69,14.5953,5.46857,43.5600,34.4906
Rule3623,70,14.6198,5.50122,42.9000,34.6132
Rule3623,71,14.7237,5.61147,43.7100,34.8533
Rule3623,72,14.8645,5.68142,44.2300,35.9845
Rule3623,73,14.8961,5.73199,43.8100,34.9810
Rule3623,74,14.9618,5.76157,42.5200,33.7524
Rule3623,75,15.0052,5.86752,43.7500,34.7869
Rule3623,76,15.0931,5.93391,43.1500,34.4959
Rule3623,77,15.1644,5.98658,42.4300,34.0553
Rule3623,78,15.2674,5.98631,42.0400,32.7479
Rule3623,79,15.3199,6.06628,42.8800,34.4833
Rule3623,80,15.3815,6.12562,42.8600,33.8705
Rule3623,81,15.4233,6.20713,42.8700,33.5588
Rule3623,82,15.4732,6.19381,41.5100,32.5656
Rule3623,83,15.4618,6.29767,41.1600,31.7302
Rule3623,84,15.5380,6.34137,41.3200,32.0917
Rule3623,85,15.5979,6.43419,41.3900,32.4902
Rule3623,86,15.6990,6.47312,41.3000,32.3586
Rule3623,87,15.7329,6.55087,41.3300,32.8166
Rule3623,88,15.8406,6.60387,41.6500,32.8019
Rule3623,89,15.8596,6.68347,42.2500,33.3589
Rule3623,90,15.9648,6.68533,41.2800,33.1074
Rule3623,91,16.0099,6.78770,41.5500,33.3456
Rule3623,92,16.1531,6.81693,41.8300,34.1828
Rule3623,93,16.1005,6.82502,40.9000,33.3159
Rule3623,94,16.1548,6.82103,41.7700,34.0237
Rule3623,95,16.2132,6.93337,41.5600,34.6755
Rule3623,96,16.2124,6.99765,41.3100,34.4632
Rule3623,97,16.1917,7.04390,40.6800,34.3058
Rule3623,98,16.2351,7.06832,41.1200,34.4229
Rule3623,99,16.3200,7.21507,40.4000,33.8481
